ref,x,y,Area,Vista,Average Radial,Visibility,Co-Visibility,Overt Control,Covert Control,Counterpoint,Choice,Mean Visual Depth,Integration (HH)
0,-80221.987,72164.184,2.70461,4.49619,0.394818,0.155258,4.98892,8.72351,2.0102,0.665541,0.636094,2.02662,7.85542
1,-80198.552,72164.184,2.69856,4.49421,0.404644,0.155437,5.00523,8.70896,2.01446,0.665076,0.636094,2.02662,7.85542
2,-80175.118,72164.184,2.69154,4.49183,0.410879,0.155793,5.01894,8.70896,2.01535,0.664978,0.639053,2.02958,7.83284
3,-80151.683,72164.184,2.68533,4.48968,0.413952,0.156149,5.03121,8.70896,2.01508,0.664899,0.639053,2.02958,7.83284
4,-80128.249,72164.184,2.67854,4.48729,0.415574,0.156321,5.04269,8.70340,2.01397,0.664741,0.639053,2.02958,7.83284
